LAT;;;;;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667
LON;;;;;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667
ASL;;;;;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000
CITY;;;;;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;sfc
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;0;0;0;0;0;0;0;0;0;0;0;0

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Total cloud cover  [sfc];High cloud cover  [high cld lay];Medium cloud cover  [mid cld lay];Low cloud cover  [low cld lay];Shortwave Radiation - backwards  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd];Wind Gust  [sfc]
2017;07;10;00;00;20.47;74.00;1010.30;0.00;13.00;0.00;10.00;13.00;0.00;1.28;308.66;2.40
2017;07;10;01;00;20.40;74.00;1010.20;0.00;100.00;0.00;0.00;100.00;0.00;1.08;326.31;1.90
2017;07;10;02;00;20.18;74.00;1009.50;0.00;100.00;0.00;0.00;100.00;0.00;0.64;321.34;0.10
2017;07;10;03;00;19.01;78.00;1009.80;0.00;14.00;0.00;0.00;14.00;0.00;0.22;243.43;0.60
2017;07;10;04;00;18.92;77.00;1010.30;0.00;18.00;0.00;0.00;18.00;0.00;0.54;248.20;0.70
2017;07;10;05;00;20.26;78.00;1010.80;0.00;23.00;0.00;0.00;23.00;50.73;0.41;255.96;0.40
2017;07;10;06;00;20.70;79.00;1010.60;0.00;25.00;0.00;0.00;25.00;202.03;0.00;180.00;0.40
2017;07;10;07;00;21.90;77.00;1010.50;0.00;0.00;0.00;0.00;0.00;360.45;0.10;90.00;0.40
2017;07;10;08;00;23.53;68.00;1010.70;0.00;0.00;0.00;0.00;0.00;513.53;0.10;90.00;0.60
2017;07;10;09;00;24.67;61.00;1010.10;0.00;10.00;0.00;0.00;10.00;622.11;0.40;90.00;0.70
2017;07;10;10;00;25.70;57.00;1009.40;0.00;0.00;0.00;0.00;0.00;758.28;0.73;105.95;1.50
2017;07;10;11;00;26.66;53.00;1008.70;0.00;1.50;5.00;0.00;0.00;833.04;0.70;90.00;2.00
2017;07;10;12;00;28.94;46.00;1010.30;0.00;0.00;0.00;0.00;0.00;869.53;1.43;335.22;2.60
