;;;bastille;vercors
27/06/17;20:14:00;27/06/2017 20:14:00;29,9;35,2
27/06/17;21:28:00;27/06/2017 21:28:00;25,8;25,4
27/06/17;22:46:00;27/06/2017 22:46:00;23,95;24,35
27/06/17;23:20:00;27/06/2017 23:20:00;23,4;23,6
28/06/17;01:25:00;28/06/2017 01:25:00;16,4;15,9
28/06/17;07:54:00;28/06/2017 07:54:00;18,4;15,2
28/06/17;08:27:00;28/06/2017 08:27:00;26,3;18
28/06/17;08:50:00;28/06/2017 08:50:00;29,5;21,4
28/06/17;09:57:00;28/06/2017 09:57:00;37;23,8
28/06/17;10:45:00;28/06/2017 10:45:00;33,4;28,8
28/06/17;12:53:00;28/06/2017 12:53:00;20;20
28/06/17;14:00:00;28/06/2017 14:00:00;20,9;20
28/06/17;14:38:00;28/06/2017 14:38:00;19,9;20
28/06/17;15:20:00;28/06/2017 15:20:00;24,1;26,3
28/06/17;15:52:00;28/06/2017 15:52:00;24,9;25,8
28/06/17;17:16:00;28/06/2017 17:16:00;27,8;29,1
28/06/17;19:25:00;28/06/2017 19:25:00;19;26,6
28/06/17;20:40:00;28/06/2017 20:40:00;15,4;17,7
28/06/17;21:50:00;28/06/2017 21:50:00;17;18,5
29/06/17;00:00:00;29/06/2017 00:00:00;14;14,5
29/06/17;01:27:00;29/06/2017 01:27:00;13,4;14
29/06/17;08:04:00;29/06/2017 08:04:00;15,3;15,6
29/06/17;14:35:00;29/06/2017 14:35:00;40,3;40
29/06/17;15:16:00;29/06/2017 15:16:00;36,5;36,5
29/06/17;15:46:00;29/06/2017 15:46:00;40;48
29/06/17;16:04:00;29/06/2017 16:04:00;33,7;40
29/06/17;16:40:00;29/06/2017 16:40:00;37;49,5
29/06/17;17:09:00;29/06/2017 17:09:00;34;52
29/06/17;17:18:00;29/06/2017 17:18:00;37;55,3
29/06/17;18:14:00;29/06/2017 18:14:00;27,6;32,9
29/06/17;19:48:00;29/06/2017 19:48:00;15,7;15,5
29/06/17;21:23:00;29/06/2017 21:23:00;13,7;13,4
29/06/17;21:56:00;29/06/2017 21:56:00;12,8;13
29/06/17;23:15:00;29/06/2017 23:15:00;11,8;12
30/06/17;08:00:00;30/06/2017 08:00:00;20;11,7
30/06/17;08:26:00;30/06/2017 08:26:00;27,9;11,9
30/06/17;08:55:00;30/06/2017 08:55:00;37;12,3
30/06/17;09:36:00;30/06/2017 09:36:00;47,6;17
30/06/17;10:10:00;30/06/2017 10:10:00;52;18,4
30/06/17;11:26:00;30/06/2017 11:26:00;58,8;32,2
30/06/17;12:58:00;30/06/2017 12:58:00;50;35,4
30/06/17;14:00:00;30/06/2017 14:00:00;42,4;38,4
30/06/17;15:34:00;30/06/2017 15:34:00;38;35
30/06/17;17:00:00;30/06/2017 17:00:00;28,9;26,8
30/06/17;19:39:00;30/06/2017 19:39:00;20;29,7
30/06/17;20:00:00;30/06/2017 20:00:00;19,1;24,4
30/06/17;22:00:00;30/06/2017 22:00:00;14,6;14,6
